table2Version;indicatorOfParameter;shortName;comment
253;243;dutp;Duration of total precipitations  [s]
253;244;lhsub;Latent Heat Sublimation  [W/m2]
253;245;wevap;Water evaporation  [kg/m2]
253;246;snsub;Snow sublimation  [kg/m2]
253;247;shis;Snow history  [???]
253;248;ao;A OZONE  [???]
253;249;bo;B OZONE  [???]
253;250;cb;C OZONE  [???]
253;251;aers;Surface aerosol sea  [???]
253;252;aerl;Surface aerosol land  [???]
253;253;aerc;Surface aerosol soot  [???]
253;254;aerd;Surface aerosol desert  [???]
253;255;Missing;Missing value  [n/a ]
228;0;unknown;unknown
228;1;oro;Surface orography  [m**2 s**-2 m]
228;2;lsm;Land-Sea Mask 0/1 
228;3;LandFrac;Land Fraction pu pu
228;4;stdo;Std dev of orography - -
228;5;AniSO;Anisotropy sbgrd orog - -
228;6;AngSO;Angle sbgrd orog - -
228;7;SSO;Slope sbgrd orog - -
228;8;OroR;Orography roughness m m
228;9;srg;Surface roughness m m
228;10;zt;Thermal roughness m m
228;11;ClayFrac;Clay fraction % pu
228;12;SandFrac;Sand fraction % pu
228;13;VegTyp;Veg Type (1-4) (1-4)
228;14;lai;L.A.I. - -
228;15;RD;Root Depth m m
228;16;SMR;Stomatal min Resistance ? ?
228;17;VegFrac;Vegetation fraction pu pu
228;18;UrbFrac;Urbanisation frctn pu pu
228;19;al;Albedo pu
228;20;emis;Emissivity pu pu
228;21;CST;Clim Surf Temperature K \SP\o\SPR\C
228;22;CDST;Clim Deep Soil Temp K \SP\o\SPR\C
228;23;RT;Relax Temperature K \SP\o\SPR\C
228;24;CSW;Clim Surface Wetness m mm
228;25;CDSW;Clim Deep Soil Wetness m mm
228;26;RDSW;Relax Deep Soil Wetness pu pu
228;27;SWR;Surf Water Reservoir m (water equiv) m (water equiv)
228;28;DWR;Deep Water Reservoir m (water equiv) m (water equiv)
228;29;CSR;Clim Snow Reservoir m (water equiv) m (water equiv)
228;30;IR;Interception Reservoir m (water equiv) m (water equiv)
228;31;RE;Res to Evapotranspirn ? ?
228;32;CA;Compl. Albedo pu pu
228;33;M-VG;Max Veg fraction pu pu
228;34;M-RD;Max Root Depth m m
228;35;VR;Vegtn roughness m m
228;36;unknown;unknown
228;37;unknown;unknown
228;38;unknown;unknown
228;39;unknown;unknown
228;40;SLP;Surface pressure Pa hPa
228;41;msl;Mean sea level pressure Pa hPa
228;42;IZJ;ICAO zonal Jet m/s m/s
228;43;IMJ;ICAO meridian Jet m/s m/s
228;44;TP;Tropopause Pressure Pa hPa
228;45;ITT;ICAO Tropopause Temper K \SP\o\SPR\C
228;46;TFI;Tropopause Fold Indic - -
228;47;SVV;Surf vertical velocity m/s m/s
228;48;SurfT;Surface Temperature
228;49;DeepT;Deep Soil Temperature
228;50;IntSurfT;Interpolated Surf. Temp.
228;51;SurfSWet;Surface Soil Wetness
228;52;DeepSWet;Deep Soil Wetness
228;53;FrozenSurfWet;Forzen Surface Soil Wetness
228;54;FrozenDeepWet;Fozen Deep Soil Wetness
228;55;SurfRelMoi;Surface Relative Moisture
228;56;SoilM;Soil Moisture
228;57;unknown;unknown
228;58;unknown;unknown
228;59;unknown;unknown
228;60;unknown;unknown
228;61;unknown;unknown
228;62;unknown;unknown
228;63;unknown;unknown
228;64;unknown;unknown
228;65;unknown;unknown
228;66;unknown;unknown
228;67;unknown;unknown
228;68;unknown;unknown
228;69;unknown;unknown
228;70;unknown;unknown
228;71;unknown;unknown
228;72;unknown;unknown
228;73;unknown;unknown
228;74;unknown;unknown
228;75;unknown;unknown
228;76;UpdPronVel;Updraught pron Velocity (m/s)
228;77;DownpronVel;Downdraught pron Velocity (m/s)
228;78;Dens;Density (kg/m**3)
228;79;CAM;Convective Activity Mask
228;80;UPMF;Updraught pron mass flx Pa/s Kg/(s m**2)
228;81;DPMF;Dndraught pron mass flx Pa/s Kg/(s m**2)
228;82;UPV;Updraught pron velocity Pa/s  Pa/s
228;83;UMF;Updraught mesh fraction pu pu
228;84;DPV;Downdraught pron velocity Pa/s Pa/s
228;85;DMF;Downdraught mesh fraction pu pu
228;86;LHP;(RMI) Last hour Precipit m mm
228;87;PTVG;(RMI) Pot Temp Vert grad K/Pa  K/Pa
228;88;VTG;(RMI) Vertic Temp Grad K/Pa K/Pa
228;89;STW;(RMI) Sect Tangent wind m/s m/s
228;90;SNW;(RMI) Sect Normal wind m/s m/s
228;91;absvA;Absolute Vorticity Adv s**-2 10**-9 /s**2
228;92;voA;Relative Vorticity Adv s**-2 10**-9 /s**2
228;93;PVA;Potential Vorticity Adv 1.E6PVU/s PVU /s
228;94;TA;Temperature Advection K/s K/h
228;95;h;Height (geopotential) m m
228;96;z;Geopotential  m**2 s**-2 dam
228;97;pres;Pressure Pa hPa
228;98;t;Temperature K \SP\o\SPR\C
228;99;td;Dewpoint Temperature K \SP\o\SPR\C
228;100;pt;Potential Temperature K \SP\o\SPR\C
228;101;WT;Wet Bulb Temperature K \SP\o\SPR\C
228;102;WPT;Wet Bulb Poten Temper K \SP\o\SPR\C
228;103;ET;Equiv Temperature K \SP\o\SPR\C
228;104;EPT;Equiv Poten Temperature K \SP\o\SPR\C
228;105;q;Specific humidity kg/kg g/kg
228;106;r;Relative humidity % %
228;107;u;U-velocity m/s m/s
228;108;v;V-velocity m/s m/s
228;109;w;Vertical velocity Pa/s Pa/s
228;110;d;Divergence per sec 10**-5/sec
228;111;vo;Vorticity (relative) s**-1  10**-5/sec
228;112;absv;Absolute Vorticity s**-1 10**-5/sec
228;113;pv;Potential Vorticity  1.E6 PVU PVU
228;114;VP;Velocity potential m**2 s**-1 m**2 s**-1
228;115;SF;Stream Function m/s m/s
228;116;SHS;Shearing strain - -
228;117;STS;Stretching strain - -
228;118;Pdep;NH Pressure departure - -
228;119;Vdiv;NH Vertical Divergence
228;120;Vvel;NH Vertical velocity
228;121;unknown;unknown
228;122;CLW;Cloud liquid water cnt kg/kg kg/kg
228;123;CSW;Cloud solid water cnt kg/kg kg/kg
228;124;unknown;unknown
228;125;unknown;unknown
228;126;unknown;unknown
228;127;None;reserved for gribex
228;128;lsr;Large scale rain m mm
228;129;lssf;Large scale snow m mm (water equiv)
228;130;CR;Convective rain m mm
228;131;csf;Convective snow m mm (water equiv)
228;132;tp;Total precipitation m mm
228;133;ConvCl;Convective Cloud Cover 0-1 0-1
228;134;lcc;Low Cloud Cover 0-1 0-1
228;135;mcc;Medium Cloud Cover 0-1 0-1
228;136;hcc;High Cloud Cover 0-1 0-1
228;137;tcc;Total cloud cover 0-1 0-1
228;138;Cl;Cloudiness (0-9) (0-9)
228;139;SoilMois;Soil moisture (0-1) (0-1)
228;140;wevap;Water evaporation m (of water) mm (of water)
228;141;LatHeatEvap;Latent heat evaporation J/kg J/kg
228;142;SM;Snow mass kg/sq m kg/sq m
