"field";"name";"comment"
198;MaxT2;2 m Max temp (since ppp) K \SP\o\SPR\C
199;MinT2;2 m Min temp (since ppp) K \SP\o\SPR\C
200;ST;Surface Temperature K \SP\o\SPR\C
201;DST;Deep Soil Temperature K \SP\o\SPR\C
202;SWC;Surface Water Contents ? ?
203;DSWC;Deep Soil Water Contents ? ?
204;BLU;u at bottom level m/s m/s
205;BLV;v at bottom level m/s m/s
206;BLT;T at bottom level K \SP\o\SPR\C
207;BLQ;Q at bottom level kg/kg  kg/kg 
208;BLGP;Geopot bottom level m**2/s**2 dam
209;IFLR;Inst flx LS rain kg/sq m s mm/s
210;IFLS;Inst flx LS snow kg/sq m s mm/s(water equiv)
211;IFCR;Inst flx Conv rain kg/sq m s mm/s
212;IFCS;Inst flx Conv snow kg/sq m s mm/s(water equiv)
213;IFCCC;Inst flx Conv Cld Cover 0-1 0-1
214;IFLCC;Inst flx Low Cld Cover 0-1 0-1
215;IFMCC;Inst flx Medium Cld Cover 0-1 0-1
216;IFHCC;Inst flx High Cld Cover 0-1 0-1
217;IFTCC;Inst flx Tot Cld cover 0-1 0-1
218;IFC;Inst flx Cloudiness (0-9) (0-9)
219;SMass;Snow mass kg/sq m kg/sq m
220;ISSR;Inst Surf Solar radn W/sq m W/sq m
221;ISER;Inst Surf Earth radn W/sq m W/sq m
222;ITSR;Inst Top Solar radn W/sq m W/sq m
223;ITER;Inst Top Earth radn W/sq m W/sq m
224;ICFU;Inst Convective flux of U m/s**2 m/s**2
225;ICFV;Inst Convective flux of V m/s**2 m/s**2
226;ICFM;Inst Convec Moist flux (Q) kg/sq m s kg/sq m s
227;ICFH;Inst Convec Heat flux (Cp.T) W/sq m W/sq m
228;ITFU;Inst Turbulent flux of U m/s**2 m/s**2
229;ITFV;Inst Turbulent flux of V m/s**2 m/s**2
230;ITFM;Inst Turbul Moist flux (Q) kg/sq m s kg/sq m s
231;ITFH;Inst Turbul Heat flux (Cp.T) W/sq m W/sq m
232;PCUC;(RMI) Prono Conv Upd Cover [0-1] [0-1]
233;PCV;(RMI) Prono Conv VV dt Pa Pa
235;ZonGust;SBL Zonal gust
236;MerGust;SBL Meridian gust
237;Gust;SBL Gust
238;RHmax;SBL Max. Rel. Humidity
239;RHmin;SBL Min. Rel. Humidity
240;SurfCape;Surface CAPE (J)
241;PBLMocon;PBL Mocon (g/kg s^-1)
242;PBLh; PBL height (m)
243;NA;NA
244;NA;NA
245;NA;NA
246;NA;NA
247;NA;NA
248;NA;NA
249;NA;NA
250;NA;NA
251;NA;NA
252;NA;NA
253;NA;NA
254;NA;NA
255;NA;NA
