"latitude" "reduced"
-38.107296 864
-37.756076 864
-37.404857 864
-37.053638 864
-36.702419 864
-36.351199 864
-35.99998 864
-35.648761 864
-35.297542 864
-34.946322 864
-34.595103 900
-34.243884 900
-33.892665 900
-33.541445 900
-33.190226 900
-32.839007 900
-32.487788 900
-32.136568 900
-31.785349 900
-31.43413 900
-31.08291 900
-30.731691 960
-30.380472 960
-30.029253 960
-29.678033 960
-29.326814 960
-28.975595 960
-28.624375 960
-28.273156 960
-27.921937 960
-27.570717 960
-27.219498 960
-26.868279 960
-26.51706 960
-26.16584 960
-25.814621 960
-25.463402 960
-25.112182 960
-24.760963 960
-24.409744 960
-24.058524 960
-23.707305 960
-23.356086 960
-23.004866 972
-22.653647 972
-22.302428 972
-21.951209 972
-21.599989 972
-21.24877 1000
-20.897551 1000
-20.546331 1000
-20.195112 1000
-19.843893 1000
-19.492673 1000
-19.141454 1000
-18.790235 1000
-18.439015 1000
-18.087796 1000
-17.736577 1000
-17.385357 1000
-17.034138 1000
-16.682919 1000
-16.331699 1000
-15.98048 1000
-15.629261 1024
-15.278041 1024
-14.926822 1024
-14.575603 1024
-14.224383 1024
-13.873164 1024
-13.521945 1024
-13.170725 1024
-12.819506 1024
-12.468287 1024
-12.117067 1024
-11.765848 1024
-11.414629 1024
-11.063409 1024
-10.71219 1024
-10.360971 1024
-10.009751 1024
-9.658532 1024
-9.307313 1024
-8.956093 1024
-8.604874 1024
-8.253655 1024
-7.902435 1024
-7.551216 1024
-7.199997 1024
-6.848777 1024
-6.497558 1024
-6.146339 1024
-5.795119 1024
-5.4439 1024
-5.09268 1024
-4.741461 1024
-4.390242 1024
-4.039022 1024
-3.687803 1024
-3.336584 1024
-2.985364 1024
-2.634145 1024
-2.282926 1024
-1.931706 1024
-1.580487 1024
-1.229268 1024
-0.878048 1024
-0.526829 1024
-0.17561 1024
0.17561 1024
0.526829 1024
0.878048 1024
1.229268 1024
1.580487 1024
1.931706 1024
2.282926 1024
2.634145 1024
2.985364 1024
3.336584 1024
3.687803 1024
4.039022 1024
4.390242 1024
4.741461 1024
5.09268 1024
5.4439 1024
5.795119 1024
6.146339 1024
6.497558 1024
6.848777 1024
7.199997 1024
7.551216 1024
7.902435 1024
8.253655 1024
8.604874 1024
8.956093 1024
9.307313 1024
9.658532 1024
10.009751 1024
10.360971 1024
10.71219 1024
11.063409 1024
11.414629 1024
11.765848 1024
12.117067 1024
12.468287 1024
12.819506 1024
13.170725 1024
13.521945 1024
13.873164 1024
14.224383 1024
14.575603 1024
14.926822 1024
15.278041 1024
15.629261 1024
15.98048 1000
16.331699 1000
16.682919 1000
17.034138 1000
17.385357 1000
17.736577 1000
18.087796 1000
18.439015 1000
18.790235 1000
19.141454 1000
19.492673 1000
19.843893 1000
20.195112 1000
20.546331 1000
20.897551 1000
21.24877 1000
21.599989 972
21.951209 972
22.302428 972
22.653647 972
23.004866 972
23.356086 960
23.707305 960
24.058524 960
24.409744 960
24.760963 960
25.112182 960
25.463402 960
25.814621 960
26.16584 960
26.51706 960
26.868279 960
27.219498 960
27.570717 960
27.921937 960
28.273156 960
28.624375 960
28.975595 960
29.326814 960
29.678033 960
30.029253 960
30.380472 960
30.731691 960
31.08291 900
31.43413 900
31.785349 900
32.136568 900
32.487788 900
32.839007 900
33.190226 900
33.541445 900
33.892665 900
34.243884 900
34.595103 900
34.946322 864
35.297542 864
35.648761 864
35.99998 864
36.351199 864
36.702419 864
37.053638 864
37.404857 864
37.756076 864
38.107296 864
38.458515 864
38.809734 864
39.160953 864
39.512173 864
39.863392 810
40.214611 810
40.56583 800
40.91705 800
41.268269 800
41.619488 800
41.970707 800
42.321926 800
42.673146 800
43.024365 800
43.375584 768
43.726803 768
44.078022 768
44.429242 768
44.780461 750
45.13168 750
45.482899 750
45.834118 750
46.185337 750
46.536557 729
46.887776 729
47.238995 720
47.590214 720
47.941433 720
48.292652 720
48.643871 720
48.995091 720
49.34631 720
49.697529 720
50.048748 720
50.399967 675
50.751186 675
51.102405 675
51.453624 675
51.804843 675
52.156062 675
52.507282 648
52.858501 640
53.20972 640
53.560939 640
53.912158 640
54.263377 640
54.614596 640
54.965815 640
55.317034 640
55.668253 600
56.019472 600
56.370691 600
56.72191 600
57.073129 600
57.424348 576
57.775566 576
58.126785 576
58.478004 576
58.829223 576
59.180442 576
59.531661 540
59.88288 540
60.234099 540
60.585317 540
60.936536 540
61.287755 512
61.638974 512
61.990193 500
62.341411 500
62.69263 500
63.043849 486
63.395068 480
63.746286 480
64.097505 480
64.448723 480
64.799942 480
65.151161 450
65.502379 450
65.853598 450
66.204816 432
66.556035 432
66.907253 432
67.258472 432
67.60969 432
67.960908 400
68.312127 400
68.663345 400
69.014563 384
69.365781 384
69.716999 375
70.068217 375
70.419436 360
70.770654 360
71.121871 360
71.473089 360
71.824307 360
72.175525 360
72.526743 324
72.87796 320
73.229178 320
73.580395 320
73.931613 300
74.28283 300
74.634047 288
74.985264 288
75.336481 288
75.687698 270
76.038915 270
76.390131 256
76.741348 250
77.092564 243
77.44378 240
77.794996 240
78.146212 225
78.497427 216
78.848642 216
79.199857 216
79.551072 200
79.902286 192
80.2535 192
80.604713 180
80.955926 180
81.307139 180
81.658351 160
82.009562 160
82.360772 150
82.711982 144
83.063191 135
83.414398 125
83.765604 120
84.116809 120
84.468011 108
84.819212 100
85.170409 96
85.521603 90
85.872793 81
86.223977 75
86.575154 72
86.926322 72
87.277476 64
87.628611 60
87.979716 50
88.330774 45
88.681746 40
89.032542 32
89.382874 25
89.731149 18
