"latitude" "regular" "reduced"
-52.081213 2560 1600
-51.940643 2560 1600
-51.800073 2560 1620
-51.659502 2560 1620
-51.518932 2560 1620
-51.378362 2560 1728
-51.237792 2560 1728
-51.097222 2560 1728
-50.956652 2560 1728
-50.816082 2560 1728
-50.675512 2560 1728
-50.534942 2560 1728
-50.394372 2560 1728
-50.253802 2560 1728
-50.113232 2560 1728
-49.972662 2560 1728
-49.832092 2560 1728
-49.691522 2560 1728
-49.550952 2560 1728
-49.410381 2560 1728
-49.269811 2560 1728
-49.129241 2560 1728
-48.988671 2560 1728
-48.848101 2560 1728
-48.707531 2560 1728
-48.566961 2560 1728
-48.426391 2560 1728
-48.285821 2560 1728
-48.145251 2560 1800
-48.004681 2560 1800
-47.864111 2560 1800
-47.723541 2560 1800
-47.582971 2560 1800
-47.442401 2560 1800
-47.30183 2560 1800
-47.16126 2560 1800
-47.02069 2560 1800
-46.88012 2560 1800
-46.73955 2560 1800
-46.59898 2560 1800
-46.45841 2560 1800
-46.31784 2560 1800
-46.17727 2560 1800
-46.0367 2560 1875
-45.89613 2560 1875
-45.75556 2560 1875
-45.61499 2560 1875
-45.47442 2560 1875
-45.33385 2560 1875
-45.193279 2560 1875
-45.052709 2560 1875
-44.912139 2560 1875
-44.771569 2560 1875
-44.630999 2560 1875
-44.490429 2560 1875
-44.349859 2560 1875
-44.209289 2560 1875
-44.068719 2560 1875
-43.928149 2560 1875
-43.787579 2560 1875
-43.647009 2560 1920
-43.506439 2560 1920
-43.365869 2560 1920
-43.225299 2560 1920
-43.084728 2560 1920
-42.944158 2560 1920
-42.803588 2560 1920
-42.663018 2560 1920
-42.522448 2560 1920
-42.381878 2560 1920
-42.241308 2560 1920
-42.100738 2560 1944
-41.960168 2560 1944
-41.819598 2560 1944
-41.679028 2560 1944
-41.538458 2560 1944
-41.397888 2560 2000
-41.257318 2560 2000
-41.116747 2560 2000
-40.976177 2560 2000
-40.835607 2560 2000
-40.695037 2560 2000
-40.554467 2560 2000
-40.413897 2560 2000
-40.273327 2560 2000
-40.132757 2560 2000
-39.992187 2560 2000
-39.851617 2560 2000
-39.711047 2560 2000
-39.570477 2560 2000
-39.429907 2560 2025
-39.289337 2560 2025
-39.148766 2560 2025
-39.008196 2560 2025
-38.867626 2560 2025
-38.727056 2560 2025
-38.586486 2560 2048
